plane_id,plane_type,registration,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,593d34e3-ba41-4eb1-8b07-3989029423ff,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3848.40,596737.13,35.97,0.478225,3185133.00,192.00,5.34,721,4,"KBGR, KELM, KSLC, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,8ef2becf-cdf8-4b21-98fb-020fac5a77b1,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3488.22,335813.69,35.97,0.347732,1624675.50,174.00,4.84,721,4,"KBGR, KSAT, KEGI, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,32218459-6616-46d8-baae-72ba1a2440b4,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,6215.13,446159.34,35.96,0.402891,3845961.00,310.00,8.62,721,4,"KBGR, LFLL, EDRB, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,4081f9b9-d16c-4280-a56a-d5f01c8a0b5b,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,6175.75,406952.73,35.96,0.383267,3485769.00,308.00,8.57,721,4,"KBGR, BGSF, EFIV, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,130fc2d1-acae-4364-94cc-a664b1d85222,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,4170.77,542609.04,35.96,0.451089,3138828.00,208.00,5.78,721,4,"KBGR, MDPC, KDEC, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,58256498-df73-43ca-b652-d248dc24df8e,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,6075.92,741270.22,35.96,0.550413,6246733.50,303.00,8.43,721,4,"KBGR, EFKT, KBGR",2
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,d5f067da-5d3d-4fcd-bb6f-7a54520309cb,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5855.48,555599.52,35.95,0.457573,4512207.00,292.00,8.12,721,4,"KBGR, KTYS, KBGR, SVMG, KBGR",4
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,d77be0c7-5cc6-42cf-b9b5-7da3d3802fc1,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,5875.99,518141.17,35.95,0.438830,4222732.50,293.00,8.15,721,4,"KBGR, SBEG, KPSM, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,816d0d92-5e7d-4139-8dc0-498d6c8c0f5b,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,4352.20,340035.89,35.95,0.349763,2052571.50,217.00,6.04,721,4,"KBGR, KRFD, MMZC, KBGR",3
88dca12f-f25b-492a-834d-02fb3661c4b8,Rockwell B-1 Lancer,,79a0ce5e-dbd6-47aa-a07e-441dea092c3e,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,4733.35,661979.25,35.95,0.510731,4345876.50,236.00,6.56,721,4,"KBGR, MMTJ, KCVG, KBGR",3
