plane_type,job_id,source,distance_nm,pay_per_hour,xp_per_hour,balance_score,pay,xp,FlightHrs,Speed,MinAp,route,legs_count
Concorde,e9f2da3c-8ba4-4024-8d28-af48e4e4224a,fbo:93dd4df8-9061-4348-8cd7-8dcc95c2602f,3622.98,573145.36,58.20,0.577584,1782396.00,181.00,3.11,1165,5,"ESGG, KMSP",1
Concorde,65405429-bc99-4ac6-bdad-d4a98eb4263c,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,2662.38,475763.27,58.20,0.528871,1087264.50,133.00,2.29,1165,4,"KBGR, KTUL, KBGR",2
Concorde,98e01f3d-a090-4f57-a9bd-2b7412a28e0e,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,2722.56,344119.50,58.20,0.463036,804195.00,136.00,2.34,1165,5,"KBGR, CYUL, KICT, KBGR",3
Concorde,a4af802c-9332-464a-a630-0c02779dc2b2,fbo:883bbd19-9d64-465d-9711-bbd4c26ddc66,820.88,218666.45,58.19,0.400270,154077.00,41.00,0.70,1165,5,"KMEM, KEWR",1
Concorde,6ba1a597-5598-4e55-ac85-684df3ce2e8c,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3747.56,863538.17,58.13,0.722432,2777817.00,187.00,3.22,1165,4,"KBGR, KMSO, KDLH, KBGR",3
Concorde,0abc30dc-30bd-404a-88c9-b1658b894d6e,fbo:2a48908d-14c7-4d83-aad6-7b366f3037c3,2364.77,655606.21,58.13,0.618465,1330780.50,118.00,2.03,1165,5,"KMIA, KSEA",1
Concorde,f118389e-e505-42e1-95a0-32998136db4a,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,1984.02,1343119.06,58.13,0.962219,2287362.00,99.00,1.70,1165,4,"KBGR, KELM, TXKF, KBGR",3
Concorde,8ef2becf-cdf8-4b21-98fb-020fac5a77b1,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3488.22,542611.58,58.11,0.561870,1624675.50,174.00,2.99,1165,4,"KBGR, KSAT, KEGI, KBGR",3
Concorde,66e397c1-89f9-4dfd-8baa-439cc84270b1,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,3531.21,839447.16,58.07,0.710049,2544433.50,176.00,3.03,1165,5,"KBGR, KJFK, MMMD, KBGR",3
Hercules H-4,f713f712-1650-464f-8da8-dcca18e3d5fa,fbo:2a48908d-14c7-4d83-aad6-7b366f3037c3,973.05,726479.91,7.40,0.400237,4712683.50,48.00,6.49,150,5,"KMIA, KDFW",1
