work_order_id,plane_id,plane_registration,plane_type,priority,job_sequence,job_id,source,departure,destination,distance_nm,flight_hours,pay,xp,pay_per_hour,xp_per_hour,balance_score,time_remaining_hours,penalty_amount,adjusted_pay_per_hour,adjusted_pay_total,speed_kts,min_airport_size,route,legs_count,accumulated_hours,is_late
6,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,4,3538bc02-69a9-4bf6-90f2-fc0aeef1ae7d,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,KBGR,KBGR,2106.628378371251,5.496082816823514,2558565.2,105.0,457666.1963882681,18.78199180570741,0.3227430572226711,61.12978833333334,0.0,465525.22683396074,2558565.2,383.29633096554875,5,KBGR -> KDAY -> KHSV -> KBGR,3,18.837098331142297,False
6,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,5,transit_5cb23793-f0c2-4e99-9300-a65810145c60_KMIA,,KBGR,KMIA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,,,0,19.837098331142297,False
6,5cb23793-f0c2-4e99-9300-a65810145c60,CON-1,Concorde,xp,6,6c58a524-ee34-4b99-8c96-e15fc7c44a21,fbo:2a48908d-14c7-4d83-aad6-7b366f3037c3,KMIA,KSEA,2364.772125448534,2.4118941762281163,2369573.5,118.0,982453.3444936211,48.92420287880806,0.7358476866408509,42.90622346361111,0.0,982453.3444936211,2369573.5,980.4626375219849,5,KMIA -> KSEA,1,22.248992507370414,False
7,6741b887-f2a9-4133-a4b2-59a7da21f415,CON-2,Concorde,xp,1,transit_6741b887-f2a9-4133-a4b2-59a7da21f415_KJAX,,KBGR,KJAX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,,,0,1.0,False
7,6741b887-f2a9-4133-a4b2-59a7da21f415,CON-2,Concorde,xp,2,a6445afa-3589-4722-9759-ba18ae6a315f,fbo:10f9a696-2a4a-4230-af78-d57ca89be883,KJAX,KOAK,2044.7201862948325,2.0854646653978017,2336817.0,102.0,1120525.8179496669,48.90996318105612,0.804812724880114,26.32415716888889,0.0,1120525.8179496669,2336817.0,980.4626375219849,4,KJAX -> KOAK,1,3.0854646653978017,False
7,6741b887-f2a9-4133-a4b2-59a7da21f415,CON-2,Concorde,xp,3,7882803e-856e-4877-8a94-26e866dc9ea8,fbo:e26561c9-aee7-4f4a-8e4f-0c07c00fd3c5,KOAK,KMEM,1559.1810808701052,2.400433684501712,3546715.5,77.0,1432036.5385111617,31.089838884838507,0.8714674636797735,26.465481374444444,0.0,1477531.1323529591,3546715.5,649.5414103446744,5,KOAK -> KMEM,1,5.4858983498995135,False
8,7c3a7674-8961-4864-96f6-2da50771c340,CARGO-1,Cargo 400M,balance,1,44ab8993-ccc3-486b-89f0-7dcf2b7bb214,fbo:934886a9-1d08-42f9-bff7-0f8700f577e9,KBGR,PANC,2878.320729310336,0.0,8841858.9,143.0,1271758.7540972498,20.568242933158174,0.7387205917144158,25.488092688888887,0.0,0.0,8841858.9,414.0,5,KBGR -> PANC,1,0.0,False
8,7c3a7674-8961-4864-96f6-2da50771c340,CARGO-1,Cargo 400M,balance,2,9a15eec3-77fc-4b34-90c0-885d6c458e5e,fbo:2af499c4-4ba9-489e-8547-8652feee13ea,PANC,KJFK,2934.2694586238686,0.0,12041091.5,146.0,1698893.6944250173,20.599335150476396,0.9524435229648907,79.53091532361111,0.0,0.0,12041091.5,414.0,5,PANC -> KJFK,1,0.0,False
8,7c3a7674-8961-4864-96f6-2da50771c340,CARGO-1,Cargo 400M,balance,3,b342e4da-dce3-4b46-920b-492964d7c807,fbo:6e4dccb7-5063-4cc8-9ad6-754e0884b5a0,KJFK,KSDF,573.6281478959484,0.0,1019739.0,28.0,735967.9742852834,20.208213356543126,0.4690250539253573,134.62916546444444,0.0,0.0,1019739.0,414.0,5,KJFK -> KSDF,1,0.0,False
8,7c3a7674-8961-4864-96f6-2da50771c340,CARGO-1,Cargo 400M,balance,4,7002c7f8-bfd8-4585-b67c-0bd660c2cacd,fbo:7ee0c519-5a90-4a8e-9ec0-3ed17b68b652,KSDF,KCVG,72.60829797535456,0.0,2438956.5,3.0,13906509.57474216,17.105482908049602,7.038782201911329,70.97173107555555,0.0,0.0,2438956.5,414.0,5,KSDF -> KCVG,1,0.0,False
8,7c3a7674-8961-4864-96f6-2da50771c340,CARGO-1,Cargo 400M,balance,5,8625ce70-231d-4c26-a82d-b054334404bd,fbo:3f1d2051-ee06-41c6-9782-aa3debe1e7e6,KCVG,KDEN,926.7647506448191,0.0,7794048.0,46.0,3481720.544242668,20.54890411698295,1.8436047927062487,31.46007105388889,0.0,0.0,7794048.0,414.0,5,KCVG -> KDEN,1,0.0,False
8,7c3a7674-8961-4864-96f6-2da50771c340,CARGO-1,Cargo 400M,balance,6,transit_7c3a7674-8961-4864-96f6-2da50771c340_KEWR,,KDEN,KEWR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,,,0,1.0,False
8,7c3a7674-8961-4864-96f6-2da50771c340,CARGO-1,Cargo 400M,balance,7,08dc11b0-dfc4-4de8-af7c-df80c7af953a,fbo:75f4d131-6831-47a1-8cbc-5656e3a4b1dc,KEWR,KJFK,18.039049862453194,0.0,83513.0,0.0,1916640.9685447873,0.0,1916640.9685447873,64.03077073055556,0.0,0.0,83513.0,414.0,5,KEWR -> KJFK,1,1.0,False
9,c1a392d3-cfec-408d-a05f-6df86f7075d8,HERC-1,Hercules H-4,balance,1,transit_c1a392d3-cfec-408d-a05f-6df86f7075d8_KMLT,,KBGR,KMLT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,,,0,1.0,False
9,c1a392d3-cfec-408d-a05f-6df86f7075d8,HERC-1,Hercules H-4,balance,2,714cbbd7-d8dc-455f-ba60-3d44cec4bfc2,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,KMLT,KLRG,18.28837107972692,0.0,541444.0,0.0,4440887.580744163,0.0,4440887.580744163,106.31602393055556,0.0,0.0,541444.0,150.0,1,KMLT -> KLRG,1,1.0,False
9,c1a392d3-cfec-408d-a05f-6df86f7075d8,HERC-1,Hercules H-4,balance,3,50db44ac-7ce7-4de8-ae11-63acfb7b9fe6,fbo:b2868468-2061-4c06-92db-2209025e23f7,KLRG,KBGR,35.55183353500213,0.0,94929.0,1.0,400523.64629747765,4.219191672697255,0.2213577815122251,78.52668006111111,0.0,0.0,94929.0,150.0,1,KLRG -> KBGR,1,1.0,False
10,ef2eae48-093e-4d1f-8678-b3cfed4dce93,PANO-1,Cessna Longitude,balance,1,transit_ef2eae48-093e-4d1f-8678-b3cfed4dce93_KADW,,KBGR,KADW,0.0,1.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,,,0,1.0,False
10,ef2eae48-093e-4d1f-8678-b3cfed4dce93,PANO-1,Cessna Longitude,balance,2,c969227c-f972-4c1b-8846-8d9042e864c1,fbo:00da4e6a-6c9e-4014-af64-9170f918527f,KADW,EINN,2850.485833701745,0.0,343140.0,142.0,58143.28843191211,24.061161500645564,0.14937745171918387,125.1239853863889,0.0,0.0,343140.0,483.0,5,KADW -> EINN,1,1.0,False
11,ccd903ec-8b54-4e76-a815-4a3f58d803b1,PANO-2,Vertigo - Turbo Prop Racer,balance,1,transit_ccd903ec-8b54-4e76-a815-4a3f58d803b1_KMLT,,KBGR,KMLT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,,,0,1.0,False
11,ccd903ec-8b54-4e76-a815-4a3f58d803b1,PANO-2,Vertigo - Turbo Prop Racer,balance,2,a0b7856d-671c-435f-bc55-556d006a34a0,fbo:6f4c9051-c208-49c7-981c-4e39290a09b4,KMLT,KJAX,1094.8119850195683,0.0,18516.0,54.0,5411.99775036633,15.783532000420276,0.08162365887728454,136.28270432944444,0.0,0.0,18516.0,320.0,2,KMLT -> KJAX,1,1.0,False
